Дата,Кампания,Бюджет,Клики,Лиды,Выручка,CPL,ROI
2026-01-28,FB_Поиск_Черногория,87.45,213,8,997.88,10.93,1041.09
2026-01-28,Google_Аренда,65.6,92,2,275.15,32.8,319.44
2026-01-28,IG_Релс_Промо,110.11,233,4,570.22,27.53,417.86
2026-01-28,TikTok_Туризм,133.24,196,4,419.21,33.31,214.63
2026-01-29,FB_Поиск_Черногория,80.42,151,4,439.92,20.1,447.03
2026-01-29,Google_Аренда,111.19,153,4,454.34,27.8,308.62
2026-01-29,IG_Релс_Промо,95.61,212,5,603.42,19.12,531.13
2026-01-29,TikTok_Туризм,109.24,137,5,520.93,21.85,376.87
2026-01-30,FB_Поиск_Черногория,56.51,137,6,808.82,9.42,1331.29
2026-01-30,Google_Аренда,80.46,106,4,468.51,20.11,482.29
2026-01-30,IG_Релс_Промо,62.2,114,2,279.29,31.1,349.02
2026-01-30,TikTok_Туризм,75.88,156,4,483.85,18.97,537.65
2026-01-31,FB_Поиск_Черногория,104.67,150,7,932.44,14.95,790.84
2026-01-31,Google_Аренда,143.95,340,12,1683.0,12.0,1069.16
2026-01-31,IG_Релс_Промо,58.85,85,1,111.62,58.85,89.67
2026-01-31,TikTok_Туризм,88.87,137,6,678.74,14.81,663.74
2026-02-01,FB_Поиск_Черногория,78.09,148,3,403.52,26.03,416.74
2026-02-01,Google_Аренда,57.46,142,6,633.23,9.58,1002.04
2026-02-01,IG_Релс_Промо,50.55,114,4,523.97,12.64,936.54
2026-02-01,TikTok_Туризм,127.13,164,5,507.81,25.43,299.44
2026-02-02,FB_Поиск_Черногория,136.31,274,8,792.41,17.04,481.33
2026-02-02,Google_Аренда,81.1,131,5,633.01,16.22,680.53
2026-02-02,IG_Релс_Промо,138.72,251,5,651.18,27.74,369.42
2026-02-02,TikTok_Туризм,126.08,243,10,1197.02,12.61,849.41
2026-02-03,FB_Поиск_Черногория,102.27,179,3,303.54,34.09,196.8
2026-02-03,Google_Аренда,53.14,107,3,361.23,17.71,579.77
2026-02-03,IG_Релс_Промо,140.76,214,6,793.6,23.46,463.8
2026-02-03,TikTok_Туризм,72.88,94,2,207.48,36.44,184.69
2026-02-04,FB_Поиск_Черногория,142.97,321,12,1653.96,11.91,1056.86
2026-02-04,Google_Аренда,130.37,188,8,975.11,16.3,647.96
2026-02-04,IG_Релс_Промо,130.74,309,9,911.54,14.53,597.22
2026-02-04,TikTok_Туризм,72.79,127,5,686.58,14.56,843.23
2026-02-05,FB_Поиск_Черногория,50.7,94,3,319.98,16.9,531.12
2026-02-05,Google_Аренда,61.99,101,4,446.05,15.5,619.55
2026-02-05,IG_Релс_Промо,101.88,215,6,855.87,16.98,740.08
2026-02-05,TikTok_Туризм,146.24,223,7,773.1,20.89,428.65
2026-02-06,FB_Поиск_Черногория,78.48,97,3,360.39,26.16,359.21
2026-02-06,Google_Аренда,55.15,86,4,430.0,13.79,679.69
2026-02-06,IG_Релс_Промо,64.49,118,5,538.09,12.9,734.38
2026-02-06,TikTok_Туризм,117.21,256,6,785.73,19.54,570.36
2026-02-07,FB_Поиск_Черногория,86.78,175,6,730.3,14.46,741.55
2026-02-07,Google_Аренда,59.03,134,3,314.86,19.68,433.39
2026-02-07,IG_Релс_Промо,54.08,106,4,387.18,13.52,615.94
2026-02-07,TikTok_Туризм,250.0,151,0,0.0,0.0,-100.0
2026-02-08,FB_Поиск_Черногория,119.09,202,9,923.41,13.23,675.39
2026-02-08,Google_Аренда,84.11,113,5,690.56,16.82,721.02
2026-02-08,IG_Релс_Промо,75.79,155,6,735.9,12.63,870.97
2026-02-08,TikTok_Туризм,250.0,155,0,0.0,0.0,-100.0
2026-02-09,FB_Поиск_Черногория,140.04,283,8,902.1,17.5,544.17
2026-02-09,Google_Аренда,122.6,290,13,1734.64,9.43,1314.88
2026-02-09,IG_Релс_Промо,114.2,149,3,417.39,38.07,265.49
2026-02-09,TikTok_Туризм,250.0,134,0,0.0,0.0,-100.0
2026-02-10,FB_Поиск_Черногория,50.51,71,2,258.42,25.26,411.62
2026-02-10,Google_Аренда,115.2,171,7,751.72,16.46,552.53
2026-02-10,IG_Релс_Промо,82.54,179,7,957.34,11.79,1059.85
2026-02-10,TikTok_Туризм,115.76,224,5,568.25,23.15,390.89
2026-02-11,FB_Поиск_Черногория,76.52,116,5,574.34,15.3,650.58
2026-02-11,Google_Аренда,139.2,281,12,1441.52,11.6,935.57
